dox	time	image	cell	c_area	n_area	Fli1	Cdh5	Flk1	Etv2	Pdgfra	Snail1	FP	n_Fli1	n_Cdh5	n_Flk1	n_Etv2	n_Pdgfra	n_Snail1	n_FP	p_Etv2
17	0	6	1	17	27369	8595	3.65376886258175e-05	0.00043845226350981	0.00043845226350981	0.000328839197632358	0.000986517592897073	0.00577295480287917	0.000109613065877453	0	0	1	0	0	0	0	0.0388378126817917
18	0	6	1	18	18833	10666	0.000106196569850794	0.000212393139701588	0.000743375988955557	0.000318589709552381	0.00212393139701588	0.0033982902352254	0	0	0	0	0	0	1	0	0.0390535345959122
19	0	6	1	19	21833	11647	4.5802225988183e-05	0	0.000183208903952732	0	0.000366417807905464	0.000824440067787295	0	0	0	0	0	0	0	0	0.0401886322658195
20	0	6	1	20	23710	10693	0.000210881484605652	0.000590468156895825	0.00105440742302826	0	8.43525938422607e-05	8.43525938422607e-05	0	0	0	0	0	0	0	0	0.0384553446179744
21	0	6	1	21	9626	7578	0.000207770621234157	0.000415541242468315	0.00186993559110742	0	0	0	0	0	0	0	0	0	0	0	0.0418537872789654
22	0	6	1	22	25146	8290	3.97677563031894e-05	0.000477213075638272	0.000914658394973356	0	0	0	0	0	0	0	0	0	0	0	0.0420079613992762
23	0	6	1	23	43554	16140	0.000298480047756808	0.000114800018368003	0.00158424025347844	0.00466088074574092	0.00039032006245121	0.000734720117555219	4.59200073472012e-05	0	0	0	0	0	0	0	0.0410070012391574
24	0	6	1	24	16266	12434	6.1477929423337e-05	6.1477929423337e-05	0	0.000184433788270011	0.000122955858846674	0.00153694823558343	0	0	0	0	0	0	0	0	0.0435008846710632
25	0	6	1	25	11724	7516	0	0	0	0	0.000511770726714432	0.00136472193790515	0	0	0	0	0	0	0	0	0.0411994411921235
26	0	6	1	26	19224	12851	0.000260091552226384	0.000260091552226384	0.00208073241781107	0	0.000260091552226384	0.000780274656679151	0	0	0	0	0	0	0	0	0.0421597541047389
27	0	6	1	27	38802	14407	0.000154631204577084	5.15437348590279e-05	0.0022163805989382	0.0035049739704139	0.000309262409154167	0.000489665481160765	5.15437348590279e-05	0	0	0	1	0	0	0	0.0393478864440897
28	0	6	1	28	40931	13571	2.44313600938164e-05	0.000219882240844348	0	0	0	0	0	0	0	0	0	0	0	0	0.0357044432982094
29	0	6	1	29	34096	13269	0	0.000410605349601126	2.93289535429376e-05	0	0	0	0	0	0	0	0	0	0	0	0.0355301077699902
30	0	6	1	30	27705	13043	0.000108283703302653	3.6094567767551e-05	0.00104674246525898	0.000144378271070204	3.6094567767551e-05	0.00133549900739939	3.6094567767551e-05	0	0	0	0	0	0	0	0.0389243272253316
31	0	6	1	31	26256	9414	0	7.61730652041438e-05	0	7.61730652041438e-05	3.80865326020719e-05	0.00079981718464351	0	0	0	0	0	0	0	0	0.0370583173996176
32	0	6	1	32	11987	6073	8.34237090181029e-05	0.000917660799199132	8.34237090181029e-05	0.000166847418036206	0.000417118545090515	0.00583965963126721	0	0	0	0	0	0	2	0	0.0440823316318129
33	0	6	1	33	42118	13153	0	7.12284533928487e-05	0	4.74856355952324e-05	2.37428177976162e-05	0.00116339807208319	0	0	0	0	0	0	0	0	0.0373924579943739
34	0	6	1	34	25521	6279	0	0	3.91834175776811e-05	3.91834175776811e-05	0.000274283923043768	0.000509384428509855	3.91834175776811e-05	0	0	0	0	0	0	0	0.0424252269469661
35	0	6	1	35	21133	9575	0.000567832300194009	0.000141958075048502	0.000331235508446505	4.73193583495008e-05	0.00383286802630956	0.00246060663417404	0.000141958075048502	0	0	0	0	0	1	0	0.0394218276762402
36	0	6	1	36	19538	7655	0.00040945849114546	0.000255911556965913	0.00148428703040229	0.000153546934179548	0.00168901627597502	0.00189374552154775	5.11823113931825e-05	0	0	0	0	1	0	0	0.0417246244284781
37	0	6	1	37	11704	6835	0	0	8.54408749145591e-05	0.000170881749829118	0.000512645249487355	0.00264866712235133	8.54408749145591e-05	0	0	0	0	0	0	0	0.0443430870519385
38	0	6	1	38	26059	12789	7.67489159215626e-05	0.000191872289803907	0.000422119037568594	0	0	0	0	0	0	0	0	0	0	0	0.03906833997967
39	0	6	1	39	28043	10666	0	0.000249616660129087	0	0	3.56595228755839e-05	0.000285276183004671	0	0	0	0	0	0	0	0	0.0373397712357022
40	0	6	1	40	24937	7797	0	0.000120303163973212	0	4.01010546577375e-05	0.000360909491919637	0.00124313269438986	4.01010546577375e-05	0	0	0	0	0	0	0	0.0457012953700141
41	0	6	1	41	703	7300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0305678082191781
42	20	6	2	1	26420	9056	0.00113550340651022	3.78501135503407e-05	0.000378501135503407	0.00143830431491294	0	0	0	0	0	0	0	0	0	0	0.050714222614841
43	20	6	2	2	41964	19434	0.000857878181298256	0.000619578686493185	0.00393194166428367	0.0109856067105138	9.53197979220284e-05	0.000452769040129635	0.000119149747402536	0	0	1	2	0	0	0	0.0523464032108676
44	20	6	2	3	9464	1622	0.000211327134404057	0	0.00179628064243449	0.0103550295857988	0.000422654268808115	0.000528317836010144	0	0	0	0	0	0	0	0	0.0446683723797781
45	20	6	2	4	6941	3072	0	0	0.000864428756663305	0.00259328626998992	0	0.00129664313499496	0	0	0	0	1	0	0	0	0.0390791015625
46	20	6	2	5	18088	10725	5.52852720035383e-05	0.000221141088014153	0.000663423264042459	0.00608137992038921	0.000165855816010615	0.000497567448031844	5.52852720035383e-05	0	0	0	1	0	0	0	0.0522805594405594
